country,listed_in,country_share,global_share,gap,Cluster
Czech Republic,Horror Movies,0.0196078431372549,0.01928096320619685,0.00032687993105805224,0
Czech Republic,Independent Movies,0.0196078431372549,0.043782099856866215,-0.024174256719611313,0
Czech Republic,International Movies,0.19607843137254902,0.14772248884398417,0.048355942528564844,0
Czech Republic,International TV Shows,0.058823529411764705,0.061673823356066346,-0.0028502939443016406,0
Czech Republic,Reality TV,0.0196078431372549,0.011366506693609498,0.008241336443645404,0
Czech Republic,Romantic Movies,0.0196078431372549,0.03039488086217058,-0.010787037724915679,0
Czech Republic,Sci-Fi & Fantasy,0.058823529411764705,0.015997305716931885,0.04282622369483282,0
Czech Republic,Science & Nature TV,0.0196078431372549,0.004546602677443799,0.015061240459811102,0
Czech Republic,Sports Movies,0.0196078431372549,0.011156015828913025,0.008451827308341877,0
Czech Republic,TV Dramas,0.0196078431372549,0.03586764334427886,-0.01625980020702396,0
Czech Republic,TV Horror,0.0196078431372549,0.0036204428727793212,0.01598740026447558,0
Czech Republic,TV Thrillers,0.0196078431372549,0.0027784794139934328,0.016829363723261468,0
Czech Republic,Thrillers,0.0196078431372549,0.033931127389071315,-0.014323284251816414,0
Denmark,Action & Adventure,0.027777777777777776,0.049760040414246025,-0.02198226263646825,0
Denmark,Children & Family Movies,0.027777777777777776,0.035572956133703794,-0.007795178355926018,0
Denmark,Comedies,0.009259259259259259,0.08339648059274228,-0.07413722133348302,0
Denmark,Crime TV Shows,0.018518518518518517,0.02277511156015829,-0.004256593041639771,0
Denmark,Cult Movies,0.009259259259259259,0.003915130083354383,0.005344129175904876,0
Denmark,Documentaries,0.10185185185185185,0.04698156100025259,0.05487029085159926,0
Denmark,Docuseries,0.009259259259259259,0.018354803401532373,-0.009095544142273114,0
Denmark,Dramas,0.14814814814814814,0.1346720552328029,0.013476092915345239,0
Denmark,Independent Movies,0.08333333333333333,0.043782099856866215,0.039551233476467114,0
Denmark,International Movies,0.21296296296296297,0.14772248884398417,0.06524047411897879,0
Denmark,International TV Shows,0.09259259259259259,0.061673823356066346,0.030918769236526242,0
Denmark,Kids' TV,0.037037037037037035,0.025090511071819484,0.011946525965217551,0
Denmark,Romantic Movies,0.018518518518518517,0.03039488086217058,-0.011876362343652063,0
Denmark,Sports Movies,0.018518518518518517,0.011156015828913025,0.0073625026896054924,0
Denmark,TV Action & Adventure,0.009259259259259259,0.008588027279616064,0.0006712319796431943,0
Denmark,TV Comedies,0.027777777777777776,0.026521848951755495,0.0012559288260222817,0
Denmark,TV Dramas,0.07407407407407407,0.03586764334427886,0.03820643072979521,0
Denmark,TV Mysteries,0.018518518518518517,0.0047570935421402715,0.013761424976378247,0
Denmark,TV Thrillers,0.009259259259259259,0.0027784794139934328,0.006480779845265826,0
Denmark,Thrillers,0.046296296296296294,0.033931127389071315,0.012365168907224978,0
